ID;LATITUDE;LONGITUDE;NAME
100;-17.950000000000003;16.816666666666677;BELMANIP_00134
101;-18.849999999999994;23.58333333333333;BELMANIP_00135
102;-18.450000000000003;44.38333333333334;BELMANIP_00136
103;-17.549999999999997;46.483333333333334;BELMANIP_00138
104;-17.950000000000003;15.483333333333333;BELMANIP_00139
105;-0.34999999999999337;12.783333333333344;BELMANIP_00140
106;-2.8499999999999934;13.083333333333327;BELMANIP_00141
107;-4.583333333333328;23.41666666666667;BELMANIP_00142
108;-9.516666666666664;18.983333333333334;BELMANIP_00144
109;-5.4166666666666705;31.716666666666654;BELMANIP_00146
110;-9.549999999999995;30.283333333333317;BELMANIP_00147
111;-6.883333333333339;30.85000000000001;BELMANIP_00148
112;-2.650000000000005;35.18333333333332;BELMANIP_00151
