"#";LATITUDE;LONGITUDE;NAME
299;39.9465;-76.2311;CALIPSO_W_STRASBURG
300;39.9324;-76.199;CALIPSO_ZION
301;21.4223;-77.8499;CAMAGUEY
302;-15.5617;-55.175;CAMPO_VERDE
303;38.3;-4.45;CARDENA
304;32.3688;-104.233;CARLSBAD
305;36.6067;-97.4864;CART_SITE
306;35.6741;-117.745;CHINA_LAKE
307;25.1479;80.8552;CHITRAKOOT
308;39.5306;116.252;CN-BED
309;42.0467;116.284;CN-DU2
310;40.5383;108.694;CN-KU1
311;40.3808;108.549;CN-KU2
312;44.1342;116.329;CN-XFS
313;-15.5;-56;CUIABA
314;-15.7295;-56.0208;CUIABA-MIRANDA
315;-30.6667;23.993;DAA
316;43.5772;104.419;DALANZADGAD
317;50.9495;13.5125;DE-GRI
318;51.0793;10.452;DE-HAI
319;50.4535;11.4575;DE-WET
320;69.4283;-148.698;DEAD_HORSE
321;36.6232;-116.02;DESERT_ROCK
322;40.0066;-88.2917;DIRECT_00001 - AGRO
323;34.3509;-106.69;DIRECT_00007 - SEVI
324;-2.86954;-54.9495;DIRECT_00008 - TAPA
325;60.1005;-129.69;DIRECT_00039 - WatsonLake1
326;41.9322;-93.751;DIRECT_00044 - WalnutCreek
327;11.0331;-85.5028;DIRECT_00047 - LosInocentes
328;2.63102;99.5763;DIRECT_00048 - AekLoba
329;39.0728;-2.10395;DIRECT_00051 - Barrax
330;-32.5983;116.254;DIRECT_00052 - Camerons
331;-37.4671;-73.4706;DIRECT_00053 - Concepcion
332;5.34714;-53.2378;DIRECT_00054 - Counami
333;5.34346;-53.2368;DIRECT_00055 - Counami2
334;53.8925;13.2072;DIRECT_00056 - Demmin
335;15.3247;-1.55464;DIRECT_00060 - Gourma
336;31.6593;-7.60029;DIRECT_00061 - Haouz
337;-36.9904;-60.5526;DIRECT_00065 - Laprida
338;44.1987;4.94813;DIRECT_00069 - PlanDeDieu
339;48.4432;3.77199;DIRECT_00071 - Romilly
340;-18.235;-68.1836;DIRECT_00075 - Turco
341;-18.2395;-68.1933;DIRECT_00076 - Turco2
342;13.645;2.63534;DIRECT_00077 - Wankamana
343;51.164;-1.43064;DIRECT_00079 - Chimbolton
344;-19.9217;23.5908;DIRECT_00083 - Maun
345;5.2817;-52.9122;DIRECT_00085 - GuyaFlux
346;15.4119;-15.4335;DIRECT_00086 - Dahra_South
347;15.4316;-15.4034;DIRECT_00087 - Dahra_North
348;15.8192;-15.0609;DIRECT_00088 - Tessekre_South
349;15.896;-15.0609;DIRECT_00089 - Tessekre_North
350;1.6909;31.4318;DIRECT_00092 - Bundongo_1
